date,price,mweb,virtune_ltc,lealana,ltcn,lite-de,cbltc,bitw,lits,eltc,ltcc,luxx,thorchain,total_ltc,total_usd
2025-03-31 00:00:00,85.9623415226268,129627.74197611,0,11475,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,44716.90167162,2450056.2482028203,210612571.95765653
2025-04-01 00:00:00,83.0425675272801,130011.04398666,0,11475,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,44716.90167162,2450439.5502133705,203490791.8201117
2025-04-02 00:00:00,84.5468993554936,130794.53299285,0,11475,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,44716.90167162,2451223.03921956,207243307.59476328
2025-04-03 00:00:00,81.8328176966553,131709.33442528,0,11475,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,44716.90167162,2452137.8406519904,200665348.88114432
2025-04-04 00:00:00,83.3871273280152,131968.06079967,0,11475,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,44716.90167162,2452396.5670263804,204498304.79341614
2025-04-05 00:00:00,84.3697760487709,133100.10069916,0,11475,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,44716.90167162,2453528.6069258703,207003659.09558854
2025-04-06 00:00:00,82.8049289259004,133843.93410423,0,11475,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,44716.90167162,2454272.4403309403,203225854.98639965
2025-04-07 00:00:00,70.3429222700729,135817.75901935,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,45889.895749970005,2457399.25932441,172860645.0851917
2025-04-08 00:00:00,70.9338229957497,137709.45027898,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,45889.895749970005,2459290.95058404,174446908.9837773
2025-04-09 00:00:00,68.9845827550319,139181.83795446,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,45889.895749970005,2460763.33825952,169754732.1487124
2025-04-10 00:00:00,75.9981823018269,139921.05573183,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,45889.895749970005,2461502.55603689,187069719.99010447
2025-04-11 00:00:00,73.7535696947226,139640.58728322,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,45889.895749970005,2461222.08758828,181523914.77113286
2025-04-12 00:00:00,76.2008773068086,139812.77183044,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,45889.895749970005,2461394.2721355,187560402.93467867
2025-04-13 00:00:00,78.6355543978562,140324.9268212,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,45889.895749970005,2461906.42712626,193593376.77271882
2025-04-14 00:00:00,77.6842219353182,140017.49073337,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,45838.14218158,2461547.23747004,191223381.89989203
2025-04-15 00:00:00,77.1019746336483,140068.13902704,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,45838.14218158,2461597.8857637104,189794057.7463959
2025-04-16 00:00:00,75.4068649588178,141114.48842782,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,45838.14218158,2462644.23516449,185700281.28265986
2025-04-17 00:00:00,74.3157590578977,141778.93583704,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,45838.14218158,2463308.68257371,183062654.53937525
2025-04-18 00:00:00,74.8990568771182,141784.63165196,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,45838.14218158,2463314.37838863,184499923.73315307
2025-04-19 00:00:00,75.9775992766853,141063.68470094,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,45838.14218158,2462593.43143761,187101936.91516414
2025-04-20 00:00:00,76.1478738073194,141419.4004991,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,45838.14218158,2462949.1472357702,187548340.85755435
2025-04-21 00:00:00,77.7673501974115,141071.9955403,0,11455,2031529.11455509,114729.41,0,40872.69,0,72123.39,0,4982,46450.42579365,2463214.0258890404,191557627.76248884
